filename,nrow,ncol,nnz,sparsity,degree,std_node_degree,N,cusparse,SEQREDUCE_ROWBALANCE,SR_RB_speed,PARREDUCE_ROWBALANCE,PR_RB_speed,SEQREDUCE_NNZBALANCE,SR_NB_speed,PARREDUCE_NNZBALANCE,PR_NB_speed,ROWCACHING_ROWBALANCE,RC_RB_speed,ROWCACHING_NNZBALANCE,RC_NB_speed,THE_BEST_ALG_INDEX,THE_BEST_ALG_NAME,THE_BEST_ALG_TIME,THE_BEST_ALG_SPEED
kneser_10_4_1.mtx,349651,330751,992252,8.57998e-06,2.83784,4.66308,128,0.444259,0.557552,0.796803,5.23472,0.0848678,6.42765,0.069117,2.331,0.190587,0.614253,0.723251,0.465536,0.954296,0,CuSparse,0.444259,1
flower_8_4.mtx,55081,125361,375266,5.43469e-05,6.81298,2.22582,128,0.135958,0.128822,1.05539,0.857334,0.158583,1.40362,0.0968625,0.534182,0.254517,0.112026,1.21364,0.134237,1.01283,5,ROWCACHING_ROWBALANCE,0.112026,1.21364
cavity10.mtx,2597,2597,76367,0.011323,29.4059,14.9471,128,0.0195616,0.0142368,1.37402,0.044336,0.441213,0.142042,0.137717,0.0595552,0.328462,0.0120608,1.62192,0.0151488,1.2913,5,ROWCACHING_ROWBALANCE,0.0120608,1.62192
nemeth02.mtx,9506,9506,394808,0.00436908,41.5325,6.67003,128,0.046032,0.0461664,0.997089,0.182646,0.252028,0.469699,0.0980031,0.292074,0.157604,0.0345792,1.3312,0.0466464,0.986829,5,ROWCACHING_ROWBALANCE,0.0345792,1.3312
curtis54.mtx,54,54,291,0.0997942,5.38889,1.88971,128,0.0139072,0.0041792,3.32772,0.0040928,3.39797,0.0046272,3.00553,0.0058784,2.36581,0.0043488,3.19794,0.009872,1.40875,2,PARREDUCE_ROWBALANCE,0.0040928,3.39797
fs_680_3.mtx,680,680,2646,0.00572232,3.89118,1.88725,128,0.0179808,0.004384,4.10146,0.0104608,1.71887,0.0144992,1.24012,0.0097632,1.84169,0.00512,3.51188,0.0159488,1.12741,1,SEQREDUCE_ROWBALANCE,0.004384,4.10146
vanbody.mtx,47072,47072,2336898,0.00105466,49.6452,17.6445,128,0.277536,0.287018,0.966965,1.1924,0.232755,2.93744,0.0944822,1.88706,0.147073,0.187325,1.48158,0.328755,0.844203,5,ROWCACHING_ROWBALANCE,0.187325,1.48158
p2p-Gnutella25.mtx,22687,22687,54705,0.000106285,2.41129,4.28712,128,0.0318464,0.0217664,1.4631,0.192506,0.165431,0.366547,0.0868821,0.111734,0.285019,0.0210464,1.51315,0.0191168,1.66589,6,ROWCACHING_NNZBALANCE,0.0191168,1.66589
F2.mtx,71505,71505,5294285,0.00103546,74.0408,37.5391,128,0.690189,0.63488,1.08712,2.2135,0.311809,4.96765,0.138937,4.12084,0.167487,0.394262,1.75058,0.850544,0.811467,5,ROWCACHING_ROWBALANCE,0.394262,1.75058
freeFlyingRobot_16.mtx,6078,6078,44006,0.00119122,7.24021,15.8737,128,0.0217152,0.0691328,0.314108,0.0763776,0.284314,0.146035,0.148698,0.0511264,0.424736,0.0867072,0.250443,0.0185568,1.1702,6,ROWCACHING_NNZBALANCE,0.0185568,1.1702
SiO.mtx,33401,33401,1317655,0.00118109,39.4496,58.0217,128,0.172698,0.189645,0.910637,0.716442,0.241049,1.74336,0.0990602,1.07671,0.160394,0.143914,1.20001,0.207206,0.833457,5,ROWCACHING_ROWBALANCE,0.143914,1.20001
3Dspectralwave.mtx,680943,680943,17165766,3.70204e-05,25.2088,20802.1,128,4.47381,1343.3,0.00333045,153.776,0.0290931,103.767,0.0431139,84.533,0.0529239,664.005,0.00673762,6.41594,0.697297,0,CuSparse,4.47381,1
ABACUS_shell_md.mtx,23412,23412,218484,0.000398605,9.33214,9.33276,128,0.076864,0.0118304,6.49716,0.159427,0.482126,2.78242,0.0276249,1.04964,0.0732293,0.0080704,9.52419,0.087808,0.875364,5,ROWCACHING_ROWBALANCE,0.0080704,9.52419
CurlCurl_0.mtx,11083,11083,113343,0.000922741,10.2267,1.29167,128,0.0253408,0.020144,1.25798,0.121558,0.208466,0.317728,0.0797563,0.114448,0.221418,0.0230528,1.09925,0.0232032,1.09213,1,SEQREDUCE_ROWBALANCE,0.020144,1.25798
pkustk03.mtx,63336,63336,3130416,0.00078037,49.4255,11.8044,128,0.365872,0.382963,0.955371,1.63862,0.22328,3.94921,0.0926444,2.5726,0.142219,0.241517,1.51489,0.434362,0.842321,5,ROWCACHING_ROWBALANCE,0.241517,1.51489
lp_tuff.mtx,333,628,4561,0.02181,13.6967,30.1022,128,0.0181824,0.009152,1.98671,0.0091744,1.98186,0.0122784,1.48084,0.0095104,1.91184,0.0108096,1.68206,0.0133248,1.36455,1,SEQREDUCE_ROWBALANCE,0.009152,1.98671
G56.mtx,5000,5000,24996,0.00099984,4.9992,2.25955,128,0.0201568,0.0089568,2.25045,0.0533856,0.37757,0.100646,0.200273,0.0361056,0.558273,0.0126688,1.59106,0.016416,1.22788,1,SEQREDUCE_ROWBALANCE,0.0089568,2.25045
lhr71.mtx,70304,70304,1528092,0.000309164,21.7355,26.3211,128,0.221645,0.253232,0.875264,1.34074,0.165315,3.6994,0.0599138,1.44626,0.153254,0.184586,1.20077,0.254595,0.870577,5,ROWCACHING_ROWBALANCE,0.184586,1.20077
dwt_221.mtx,221,221,1629,0.0333531,7.37104,1.60539,128,0.0144512,0.0044672,3.23496,0.0059872,2.41368,0.0076256,1.89509,0.0088768,1.62797,0.004416,3.27246,0.0103584,1.39512,5,ROWCACHING_ROWBALANCE,0.004416,3.27246
af_0_k101.mtx,503625,503625,17550675,6.91957e-05,34.8487,1.25486,128,1.94893,2.32783,0.837231,11.2891,0.172637,26.6566,0.0731125,16.3643,0.119096,1.74284,1.11825,2.41141,0.808211,5,ROWCACHING_ROWBALANCE,1.74284,1.11825
blckhole.mtx,2132,2132,14872,0.00327186,6.97561,0.953106,128,0.0171296,0.0068704,2.49325,0.0255776,0.669711,0.0493216,0.347304,0.020144,0.850357,0.0073472,2.33145,0.0125824,1.36139,1,SEQREDUCE_ROWBALANCE,0.0068704,2.49325
af_shell1.mtx,504855,504855,17588875,6.90088e-05,34.8395,1.27386,128,1.96928,2.34747,0.838895,11.3325,0.173772,26.7163,0.0737108,16.4115,0.119994,1.74244,1.13018,2.43308,0.809377,5,ROWCACHING_ROWBALANCE,1.74244,1.13018
OPF_10000.mtx,43887,43887,467711,0.000242832,10.6572,5.99466,128,0.10041,0.103654,0.968696,0.607968,0.165156,1.39452,0.0720031,0.520669,0.192847,0.0903488,1.11136,0.0989984,1.01425,5,ROWCACHING_ROWBALANCE,0.0903488,1.11136
nsct.mtx,23003,37563,697738,0.000807509,30.3325,76.9531,128,0.106781,0.137757,0.77514,0.448678,0.23799,1.58082,0.0675479,0.560294,0.19058,0.117683,0.907358,0.140048,0.762459,0,CuSparse,0.106781,1
mhda416.mtx,416,416,8562,0.0494753,20.5817,6.32213,128,0.0156928,0.0055872,2.80871,0.0095168,1.64896,0.018176,0.86338,0.0117664,1.3337,0.0056768,2.76437,0.0108128,1.45132,1,SEQREDUCE_ROWBALANCE,0.0055872,2.80871
oscil_dcop_28.mtx,430,430,1544,0.00835046,3.5907,1.44831,128,0.0163232,0.0044576,3.66188,0.0078528,2.07865,0.0098432,1.65832,0.0087584,1.86372,0.004528,3.60495,0.014288,1.14244,1,SEQREDUCE_ROWBALANCE,0.0044576,3.66188
ch5-5-b4.mtx,120,600,600,0.00833333,5,0,128,0.0156256,0.0039744,3.93156,0.0045952,3.40042,0.0050208,3.11217,0.005776,2.70526,0.004448,3.51295,0.0136608,1.14383,1,SEQREDUCE_ROWBALANCE,0.0039744,3.93156
ch6-6-b2.mtx,2400,450,7200,0.00666667,3,0,128,0.017392,0.0058368,2.97971,0.0269952,0.644263,0.0418912,0.415171,0.0168352,1.03307,0.0079744,2.18098,0.0134336,1.29466,1,SEQREDUCE_ROWBALANCE,0.0058368,2.97971
specular.mtx,477976,1600,7647616,0.01,16,0,128,0.644842,0.969891,0.66486,7.69296,0.0838223,21.844,0.0295203,8.16725,0.0789546,0.836646,0.770746,0.910701,0.708072,0,CuSparse,0.644842,1
aug2dc.mtx,30200,30200,80000,8.77155e-05,2.64901,0.957279,128,0.04416,0.0485056,0.91041,0.379117,0.116481,0.524403,0.08421,0.172848,0.255485,0.0566592,0.779397,0.0356768,1.23778,6,ROWCACHING_NNZBALANCE,0.0356768,1.23778
mycielskian9.mtx,383,383,14542,0.0991349,37.9687,29.8132,128,0.0169152,0.013888,1.21797,0.0122688,1.37872,0.0177024,0.955531,0.0154848,1.09237,0.0153536,1.10171,0.0193856,0.872565,2,PARREDUCE_ROWBALANCE,0.0122688,1.37872
id2010.mtx,149842,149842,728264,3.24356e-05,4.86021,3.68878,128,0.208912,0.275117,0.759357,2.27487,0.0918346,3.29642,0.0633754,1.22963,0.169899,0.277491,0.75286,0.23936,0.872794,0,CuSparse,0.208912,1
c8_mat11.mtx,4562,5761,2462970,0.0937143,539.888,427.66,128,0.238269,0.315254,0.755799,0.661181,0.360369,0.730266,0.326277,1.44638,0.164734,0.223206,1.06748,0.389088,0.612378,5,ROWCACHING_ROWBALANCE,0.223206,1.06748
G3_circuit.mtx,1585478,1585478,7660826,3.04758e-06,4.83187,0.637299,128,2.22,2.87694,0.771653,24.5891,0.0902839,36.9338,0.0601074,13.1231,0.169168,2.85342,0.778013,2.58321,0.859394,0,CuSparse,2.22,1
model3.mtx,1609,4578,23974,0.00325468,14.8999,19.6476,128,0.0192096,0.0151904,1.26459,0.0241024,0.796999,0.0549152,0.349805,0.0250592,0.766569,0.0180512,1.06417,0.016464,1.16676,1,SEQREDUCE_ROWBALANCE,0.0151904,1.26459
ASIC_680k.mtx,682862,682862,3871773,8.30317e-06,5.66992,659.797,128,1.28293,42.2797,0.030344,14.009,0.0915795,19.5518,0.0656171,9.21002,0.139298,51.4451,0.0249379,1.37652,0.932016,0,CuSparse,1.28293,1
olafu.mtx,16146,16146,1015156,0.00389406,62.8735,12.409,128,0.10616,0.116237,0.913308,0.385635,0.275286,1.134,0.0936153,0.704797,0.150625,0.0772032,1.37507,0.114906,0.923889,5,ROWCACHING_ROWBALANCE,0.0772032,1.37507
bp_1600.mtx,822,822,4841,0.00716459,5.88929,12.1697,128,0.0177376,0.0176,1.00782,0.013536,1.3104,0.0194144,0.913631,0.0110848,1.60017,0.0220864,0.803101,0.015104,1.17436,4,PARREDUCE_NNZBALANCE,0.0110848,1.60017
watt_1.mtx,1856,1856,11360,0.00329779,6.12069,1.51376,128,0.0205888,0.0060224,3.4187,0.0226208,0.910171,0.0409312,0.50301,0.0181184,1.13635,0.0073344,2.80716,0.0182752,1.1266,1,SEQREDUCE_ROWBALANCE,0.0060224,3.4187
lshp3466.mtx,3466,3466,23896,0.00198915,6.8944,0.450476,128,0.01784,0.0079136,2.25435,0.0390272,0.457117,0.079424,0.224617,0.0293856,0.6071,0.0099808,1.78743,0.013248,1.34662,1,SEQREDUCE_ROWBALANCE,0.0079136,2.25435
rdb1250l.mtx,1250,1250,7300,0.004672,5.84,0.383664,128,0.0165184,0.0049632,3.32818,0.0164992,1.00116,0.0278336,0.59347,0.0138176,1.19546,0.0058976,2.80087,0.012576,1.31349,1,SEQREDUCE_ROWBALANCE,0.0049632,3.32818
bcspwr03.mtx,118,118,476,0.0341856,4.0339,1.56732,128,0.0143424,0.0040608,3.53191,0.0044864,3.19686,0.0047552,3.01615,0.0055808,2.56995,0.004256,3.36993,0.0121696,1.17854,1,SEQREDUCE_ROWBALANCE,0.0040608,3.53191
lp_osa_60.mtx,10280,243246,1408073,0.000563101,136.972,2927.09,128,0.484214,18.9671,0.0255292,2.82574,0.171359,1.58816,0.304891,2.00011,0.242094,23.8882,0.02027,0.482554,1.00344,6,ROWCACHING_NNZBALANCE,0.482554,1.00344
