filename,nrow,ncol,nnz,sparsity,N(B),cusparse,SEQREDUCE_ROWBALANCE,PARREDUCE_ROWBALANCE,SEQREDUCE_NNZBALANCE,PARREDUCE_NNZBALANCE,ROWCACHING_ROWBALANCE,ROWCACHING_NNZBALANCE,THE_BEST_ALG_INDEX,THE_BEST_ALG_NAME
kneser_10_4_1.mtx,349651,330751,992252,8.57998e-06,16,0.244941,0.100557,0.513536,0.260198,1.37841,0.513434,0.100659,1,SEQREDUCE_ROWBALANCE
flower_8_4.mtx,55081,125361,375266,5.43469e-05,16,0.0579584,0.0142336,0.0738304,0.0584704,0.232448,0.0738304,0.0142336,1,SEQREDUCE_ROWBALANCE
cavity10.mtx,2597,2597,76367,0.011323,16,0.018432,0.0072704,0.0077824,0.0299008,0.0185344,0.0077824,0.0073728,1,SEQREDUCE_ROWBALANCE
nemeth02.mtx,9506,9506,202157,0.00223714,16,0.0288768,0.009728,0.0160768,0.0157696,0.0530432,0.0161792,0.009728,1,SEQREDUCE_ROWBALANCE
curtis54.mtx,54,54,291,0.0997942,16,0.0135168,0.004096,0.0036864,0.0063488,0.004608,0.0036864,0.004096,2,PARREDUCE_ROWBALANCE
fs_680_3.mtx,680,680,2646,0.00572232,16,0.0173056,0.0041984,0.0044032,0.008192,0.0064512,0.0045056,0.0043008,1,SEQREDUCE_ROWBALANCE
vanbody.mtx,47072,47072,1191985,0.000537954,16,0.1024,0.0267264,0.0678912,0.0748544,0.26921,0.0679936,0.0268288,1,SEQREDUCE_ROWBALANCE
p2p-Gnutella25.mtx,22687,22687,54705,0.000106285,16,0.0285696,0.0083968,0.0284672,0.0151552,0.0847872,0.0285696,0.0082944,6,ROWCACHING_NNZBALANCE
F2.mtx,71505,71505,2682895,0.000524724,16,0.241766,0.083456,0.129024,0.133427,0.519782,0.129024,0.0827392,6,ROWCACHING_NNZBALANCE
freeFlyingRobot_16.mtx,6078,6078,23825,0.000644928,16,0.0187392,0.0055296,0.0101376,0.0095232,0.0256,0.0101376,0.0055296,1,SEQREDUCE_ROWBALANCE
SiO.mtx,33401,33401,675528,0.000605514,16,0.0674816,0.0408576,0.0493568,0.047104,0.179098,0.0493568,0.0412672,1,SEQREDUCE_ROWBALANCE
3Dspectralwave.mtx,680943,680943,17165766,3.70204e-05,16,1.76353,920.396,173.776,1.51675,15.8819,173.768,920.452,3,SEQREDUCE_NNZBALANCE
ABACUS_shell_md.mtx,23412,23412,0,0,16,0.0095232,0.004096,0.0267264,0.003584,0.080384,0.0267264,0.004096,3,SEQREDUCE_NNZBALANCE
CurlCurl_0.mtx,11083,11083,62213,0.000506485,16,0.0211968,0.0053248,0.0162816,0.0114688,0.0468992,0.0161792,0.0054272,1,SEQREDUCE_ROWBALANCE
pkustk03.mtx,63336,63336,1596876,0.00039808,16,0.131277,0.0292864,0.0876544,0.0912384,0.359219,0.0877568,0.0293888,1,SEQREDUCE_ROWBALANCE
lp_tuff.mtx,333,628,4561,0.02181,16,0.0182272,0.0096256,0.00512,0.0178176,0.0057344,0.00512,0.0096256,2,PARREDUCE_ROWBALANCE
G56.mtx,5000,5000,12498,0.00049992,16,0.0192512,0.0050176,0.0088064,0.0088064,0.0208896,0.0089088,0.0050176,1,SEQREDUCE_ROWBALANCE
lhr71.mtx,70304,70304,1528092,0.000309164,16,0.136294,0.0448512,0.10537,0.146534,0.385638,0.10537,0.0451584,1,SEQREDUCE_ROWBALANCE
